epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0821,1.17424,2.65434,1.28078,0.60575,0.45745,0.45776,0.2967,1.07246,14.3236,1.07888,0.0676226,0.000327044,0.000327044
2,20.7452,1.31396,2.44321,1.30003,0.67158,0.48431,0.58096,0.34869,1.23391,3.03844,1.29908,0.0346006,0.000638367,0.000638367
3,30.3262,1.38149,2.01424,1.34477,0.35011,0.44205,0.3322,0.16196,1.52008,6.81214,1.55498,0.0015564,0.00092747,0.00092747
4,40.0758,1.4049,1.90582,1.34726,0.61129,0.60725,0.62947,0.44117,1.07328,2.80597,1.1786,0.00090001,0.00090001,0.00090001
5,49.6871,1.16046,1.45087,1.21882,0.81778,0.62107,0.72246,0.49756,1.16142,1.27958,1.14067,0.00086668,0.00086668,0.00086668
6,59.2404,1.1164,1.21347,1.18495,0.89441,0.75734,0.83781,0.62812,0.9377,1.02317,1.10939,0.00083335,0.00083335,0.00083335
7,68.8527,1.0329,1.06685,1.14933,0.9329,0.80587,0.87028,0.68163,0.78344,0.8918,0.9886,0.00080002,0.00080002,0.00080002
8,78.4067,0.95768,0.99474,1.10878,0.89416,0.80528,0.87904,0.72385,0.70459,0.80093,0.9492,0.00076669,0.00076669,0.00076669
9,88.0157,0.90047,0.86385,1.09031,0.90538,0.81524,0.86932,0.70964,0.71523,0.79431,0.95546,0.00073336,0.00073336,0.00073336
10,97.477,0.88986,0.85174,1.07889,0.81551,0.79264,0.84776,0.68769,0.70845,0.95843,0.96882,0.00070003,0.00070003,0.00070003
11,107.022,0.87717,0.84965,1.08425,0.93007,0.8349,0.90264,0.75017,0.65405,0.66517,0.94757,0.0006667,0.0006667,0.0006667
12,116.566,0.82077,0.75069,1.04377,0.96674,0.85473,0.92409,0.80571,0.54683,0.54078,0.87403,0.00063337,0.00063337,0.00063337
13,126.08,0.77974,0.70789,1.03312,0.91652,0.84265,0.89791,0.77028,0.60341,0.60314,0.92106,0.00060004,0.00060004,0.00060004
14,135.691,0.76978,0.67031,1.02472,0.95168,0.84687,0.92431,0.78174,0.58708,0.56374,0.91799,0.00056671,0.00056671,0.00056671
15,145.103,0.74914,0.6504,1.02436,0.98541,0.86022,0.93187,0.81338,0.5488,0.51138,0.8959,0.00053338,0.00053338,0.00053338
16,154.775,0.71325,0.62459,0.99292,0.9616,0.85551,0.92423,0.79117,0.57811,0.50694,0.91457,0.00050005,0.00050005,0.00050005
17,164.373,0.693,0.58856,0.99687,0.9721,0.87501,0.92994,0.81455,0.51997,0.48674,0.87649,0.00046672,0.00046672,0.00046672
18,173.861,0.68553,0.59476,0.98819,0.96,0.89836,0.93401,0.83613,0.48379,0.43706,0.87521,0.00043339,0.00043339,0.00043339
19,183.422,0.64151,0.54407,0.9621,0.95305,0.89288,0.93171,0.82756,0.48358,0.44929,0.86648,0.00040006,0.00040006,0.00040006
20,193.477,0.63609,0.55398,0.96918,0.96839,0.89735,0.93411,0.83904,0.47279,0.46681,0.86386,0.00036673,0.00036673,0.00036673
21,219.363,0.50791,0.42525,0.86621,0.98713,0.88163,0.92534,0.83045,0.47092,0.45278,0.85778,0.0003334,0.0003334,0.0003334
22,228.405,0.46381,0.38536,0.8584,0.97594,0.8862,0.9295,0.82837,0.46697,0.43599,0.86714,0.00030007,0.00030007,0.00030007
23,237.574,0.43974,0.36721,0.84313,0.96553,0.87984,0.92759,0.83557,0.46445,0.4511,0.87755,0.00026674,0.00026674,0.00026674
24,246.671,0.43857,0.35629,0.84777,0.9733,0.88214,0.93641,0.8508,0.43701,0.41435,0.85515,0.00023341,0.00023341,0.00023341
25,255.771,0.41716,0.33582,0.83928,0.98651,0.88226,0.93664,0.85638,0.42629,0.39609,0.85205,0.00020008,0.00020008,0.00020008
26,264.853,0.39451,0.31064,0.82532,0.98615,0.8802,0.93832,0.85434,0.43394,0.40348,0.86421,0.00016675,0.00016675,0.00016675
27,273.811,0.3764,0.30121,0.8185,0.97419,0.88036,0.93659,0.86231,0.4074,0.39977,0.84403,0.00013342,0.00013342,0.00013342
28,283.16,0.363,0.28751,0.82028,0.96925,0.89047,0.94088,0.87097,0.39625,0.37449,0.8482,0.00010009,0.00010009,0.00010009
29,292.281,0.34474,0.27715,0.82173,0.94529,0.9172,0.94285,0.87114,0.40709,0.36486,0.85284,6.676e-05,6.676e-05,6.676e-05
30,301.51,0.34393,0.28105,0.8156,0.97744,0.8933,0.94484,0.87385,0.39668,0.36252,0.84259,3.343e-05,3.343e-05,3.343e-05
