epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5426,1.10992,4.20826,1.24545,0.45182,0.60635,0.47106,0.33014,1.07307,7.12625,1.13722,0.0676226,0.000327044,0.000327044
2,19.7655,1.28784,3.1674,1.25613,0.12102,0.47397,0.10289,0.05658,1.54261,15.2552,1.60105,0.0344906,0.000528315,0.000528315
3,28.8386,1.23359,2.18959,1.19397,0.53356,0.45852,0.44554,0.22639,1.34995,2.15497,1.23127,0.0012252,0.000596266,0.000596266
4,38.15,0.99506,1.35465,1.06474,0.9294,0.74744,0.82369,0.64553,0.78667,1.01894,0.93265,0.00040006,0.00040006,0.00040006
5,47.2821,0.73225,0.82491,0.95878,0.95196,0.84357,0.89668,0.76607,0.60131,0.70732,0.89603,0.00020008,0.00020008,0.00020008
